Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,80115,1900,11,25,0.0,,Y
IDCJAC0009,80115,1900,11,26,0.0,,Y
IDCJAC0009,80115,1900,11,27,0.0,,Y
IDCJAC0009,80115,1900,11,28,0.0,,Y
IDCJAC0009,80115,1900,11,29,0.0,,Y
IDCJAC0009,80115,1900,11,30,0.0,,Y
IDCJAC0009,80115,1900,12,01,0.0,,Y
IDCJAC0009,80115,1900,12,02,0.0,,Y
IDCJAC0009,80115,1900,12,03,13.5,1,Y
IDCJAC0009,80115,1900,12,04,0.0,,Y
IDCJAC0009,80115,1900,12,05,0.0,,Y
IDCJAC0009,80115,1900,12,06,0.0,,Y
IDCJAC0009,80115,1900,12,07,0.0,,Y
IDCJAC0009,80115,1900,12,08,0.0,,Y
IDCJAC0009,80115,1900,12,09,0.0,,Y
IDCJAC0009,80115,1900,12,10,0.0,,Y
IDCJAC0009,80115,1900,12,11,0.0,,Y
IDCJAC0009,80115,1900,12,12,0.0,,Y
IDCJAC0009,80115,1900,12,13,0.0,,Y
IDCJAC0009,80115,1900,12,14,0.0,,Y
IDCJAC0009,80115,1900,12,15,0.0,,Y
IDCJAC0009,80115,1900,12,16,0.0,,Y
IDCJAC0009,80115,1900,12,17,0.0,,Y
IDCJAC0009,80115,1900,12,18,0.0,,Y
IDCJAC0009,80115,1900,12,19,0.0,,Y
IDCJAC0009,80115,1900,12,20,0.0,,Y
IDCJAC0009,80115,1900,12,21,0.0,,Y
IDCJAC0009,80115,1900,12,22,0.0,,Y
IDCJAC0009,80115,1900,12,23,0.0,,Y
IDCJAC0009,80115,1900,12,24,0.0,,Y
IDCJAC0009,80115,1900,12,25,0.0,,Y
IDCJAC0009,80115,1900,12,26,0.0,,Y
IDCJAC0009,80115,1900,12,27,0.0,,Y
IDCJAC0009,80115,1900,12,28,0.0,,Y
IDCJAC0009,80115,1900,12,29,0.0,,Y
IDCJAC0009,80115,1900,12,30,0.0,,Y
IDCJAC0009,80115,1900,12,31,0.0,,Y
IDCJAC0009,80115,1901,01,01,0.0,,Y
IDCJAC0009,80115,1901,01,02,0.0,,Y
IDCJAC0009,80115,1901,01,03,0.0,,Y
IDCJAC0009,80115,1901,01,04,0.0,,Y
IDCJAC0009,80115,1901,01,05,0.0,,Y
IDCJAC0009,80115,1901,01,06,0.0,,Y
IDCJAC0009,80115,1901,01,07,0.0,,Y
IDCJAC0009,80115,1901,01,08,0.0,,Y
IDCJAC0009,80115,1901,01,09,0.0,,Y
IDCJAC0009,80115,1901,01,10,0.0,,Y
IDCJAC0009,80115,1901,01,11,0.0,,Y
IDCJAC0009,80115,1901,01,12,0.0,,Y
IDCJAC0009,80115,1901,01,13,0.0,,Y
IDCJAC0009,80115,1901,01,14,0.0,,Y
IDCJAC0009,80115,1901,01,15,3.8,1,Y
IDCJAC0009,80115,1901,01,16,0.0,,Y
IDCJAC0009,80115,1901,01,17,0.0,,Y
IDCJAC0009,80115,1901,01,18,0.0,,Y
IDCJAC0009,80115,1901,01,19,0.0,,Y
IDCJAC0009,80115,1901,01,20,0.0,,Y
IDCJAC0009,80115,1901,01,21,0.0,,Y
IDCJAC0009,80115,1901,01,22,0.0,,Y
IDCJAC0009,80115,1901,01,23,0.0,,Y
IDCJAC0009,80115,1901,01,24,0.0,,Y
IDCJAC0009,80115,1901,01,25,0.0,,Y
IDCJAC0009,80115,1901,01,26,0.0,,Y
IDCJAC0009,80115,1901,01,27,0.0,,Y
IDCJAC0009,80115,1901,01,28,0.0,,Y
IDCJAC0009,80115,1901,01,29,0.0,,Y
IDCJAC0009,80115,1901,01,30,0.0,,Y
IDCJAC0009,80115,1901,01,31,0.0,,Y
IDCJAC0009,80115,1901,02,01,0.0,,Y
IDCJAC0009,80115,1901,02,02,0.0,,Y
IDCJAC0009,80115,1901,02,03,0.0,,Y
IDCJAC0009,80115,1901,02,04,0.0,,Y
IDCJAC0009,80115,1901,02,05,0.0,,Y
IDCJAC0009,80115,1901,02,06,0.0,,Y
IDCJAC0009,80115,1901,02,07,0.0,,Y
IDCJAC0009,80115,1901,02,08,0.0,,Y
IDCJAC0009,80115,1901,02,09,0.0,,Y
IDCJAC0009,80115,1901,02,10,0.0,,Y
IDCJAC0009,80115,1901,02,11,0.0,,Y
IDCJAC0009,80115,1901,02,12,0.0,,Y
IDCJAC0009,80115,1901,02,13,0.0,,Y
IDCJAC0009,80115,1901,02,14,0.0,,Y
IDCJAC0009,80115,1901,02,15,0.0,,Y
IDCJAC0009,80115,1901,02,16,0.0,,Y
IDCJAC0009,80115,1901,02,17,0.0,,Y
IDCJAC0009,80115,1901,02,18,0.0,,Y
IDCJAC0009,80115,1901,02,19,0.0,,Y
IDCJAC0009,80115,1901,02,20,0.0,,Y
IDCJAC0009,80115,1901,02,21,0.0,,Y
IDCJAC0009,80115,1901,02,22,0.0,,Y
IDCJAC0009,80115,1901,02,23,0.0,,Y
IDCJAC0009,80115,1901,02,24,0.0,,Y
IDCJAC0009,80115,1901,02,25,0.0,,Y
IDCJAC0009,80115,1901,02,26,0.0,,Y
IDCJAC0009,80115,1901,02,27,0.0,,Y
IDCJAC0009,80115,1901,02,28,0.0,,Y
IDCJAC0009,80115,1901,03,01,0.0,,Y
IDCJAC0009,80115,1901,03,02,0.0,,Y
IDCJAC0009,80115,1901,03,03,0.0,,Y
IDCJAC0009,80115,1901,03,04,0.0,,Y
IDCJAC0009,80115,1901,03,05,0.0,,Y
IDCJAC0009,80115,1901,03,06,0.0,,Y
IDCJAC0009,80115,1901,03,07,0.0,,Y
IDCJAC0009,80115,1901,03,08,0.0,,Y
IDCJAC0009,80115,1901,03,09,0.0,,Y
IDCJAC0009,80115,1901,03,10,0.0,,Y
IDCJAC0009,80115,1901,03,11,0.0,,Y
IDCJAC0009,80115,1901,03,12,0.0,,Y
IDCJAC0009,80115,1901,03,13,0.0,,Y
IDCJAC0009,80115,1901,03,14,0.0,,Y
IDCJAC0009,80115,1901,03,15,0.0,,Y
IDCJAC0009,80115,1901,03,16,0.0,,Y
IDCJAC0009,80115,1901,03,17,0.0,,Y
IDCJAC0009,80115,1901,03,18,0.0,,Y
IDCJAC0009,80115,1901,03,19,0.0,,Y
IDCJAC0009,80115,1901,03,20,0.0,,Y
IDCJAC0009,80115,1901,03,21,0.0,,Y
IDCJAC0009,80115,1901,03,22,0.0,,Y
IDCJAC0009,80115,1901,03,23,0.0,,Y
IDCJAC0009,80115,1901,03,24,0.0,,Y
IDCJAC0009,80115,1901,03,25,0.0,,Y
IDCJAC0009,80115,1901,03,26,0.0,,Y
IDCJAC0009,80115,1901,03,27,0.0,,Y
IDCJAC0009,80115,1901,03,28,0.0,,Y
IDCJAC0009,80115,1901,03,29,0.0,,Y
IDCJAC0009,80115,1901,03,30,0.0,,Y
IDCJAC0009,80115,1901,03,31,0.0,,Y
IDCJAC0009,80115,1901,04,01,0.0,,Y
IDCJAC0009,80115,1901,04,02,0.0,,Y
IDCJAC0009,80115,1901,04,03,0.0,,Y
IDCJAC0009,80115,1901,04,04,8.1,1,Y
IDCJAC0009,80115,1901,04,05,0.0,,Y
IDCJAC0009,80115,1901,04,06,0.0,,Y
IDCJAC0009,80115,1901,04,07,0.0,,Y
IDCJAC0009,80115,1901,04,08,0.0,,Y
IDCJAC0009,80115,1901,04,09,0.0,,Y
IDCJAC0009,80115,1901,04,10,0.0,,Y
IDCJAC0009,80115,1901,04,11,0.0,,Y
IDCJAC0009,80115,1901,04,12,0.0,,Y
IDCJAC0009,80115,1901,04,13,0.0,,Y
IDCJAC0009,80115,1901,04,14,0.0,,Y
IDCJAC0009,80115,1901,04,15,0.0,,Y
IDCJAC0009,80115,1901,04,16,0.0,,Y
IDCJAC0009,80115,1901,04,17,0.0,,Y
IDCJAC0009,80115,1901,04,18,0.0,,Y
IDCJAC0009,80115,1901,04,19,0.0,,Y
IDCJAC0009,80115,1901,04,20,0.0,,Y
IDCJAC0009,80115,1901,04,21,0.0,,Y
IDCJAC0009,80115,1901,04,22,0.0,,Y
IDCJAC0009,80115,1901,04,23,21.6,1,Y
IDCJAC0009,80115,1901,04,24,2.5,1,Y
IDCJAC0009,80115,1901,04,25,0.0,,Y
IDCJAC0009,80115,1901,04,26,0.0,,Y
IDCJAC0009,80115,1901,04,27,0.0,,Y
IDCJAC0009,80115,1901,04,28,0.0,,Y
IDCJAC0009,80115,1901,04,29,0.0,,Y
IDCJAC0009,80115,1901,04,30,0.0,,Y
IDCJAC0009,80115,1901,05,01,0.0,,Y
IDCJAC0009,80115,1901,05,02,0.0,,Y
IDCJAC0009,80115,1901,05,03,0.0,,Y
IDCJAC0009,80115,1901,05,04,0.0,,Y
IDCJAC0009,80115,1901,05,05,0.0,,Y
IDCJAC0009,80115,1901,05,06,0.0,,Y
IDCJAC0009,80115,1901,05,07,0.0,,Y
IDCJAC0009,80115,1901,05,08,0.0,,Y
IDCJAC0009,80115,1901,05,09,0.0,,Y
IDCJAC0009,80115,1901,05,10,0.0,,Y
IDCJAC0009,80115,1901,05,11,0.0,,Y
IDCJAC0009,80115,1901,05,12,0.0,,Y
IDCJAC0009,80115,1901,05,13,0.0,,Y
IDCJAC0009,80115,1901,05,14,0.0,,Y
IDCJAC0009,80115,1901,05,15,0.0,,Y
IDCJAC0009,80115,1901,05,16,0.0,,Y
IDCJAC0009,80115,1901,05,17,0.0,,Y
IDCJAC0009,80115,1901,05,18,0.0,,Y
IDCJAC0009,80115,1901,05,19,0.0,,Y
IDCJAC0009,80115,1901,05,20,0.0,,Y
IDCJAC0009,80115,1901,05,21,0.0,,Y
IDCJAC0009,80115,1901,05,22,0.0,,Y
IDCJAC0009,80115,1901,05,23,0.0,,Y
IDCJAC0009,80115,1901,05,24,0.0,,Y
IDCJAC0009,80115,1901,05,25,0.0,,Y
IDCJAC0009,80115,1901,05,26,0.0,,Y
IDCJAC0009,80115,1901,05,27,0.0,,Y
IDCJAC0009,80115,1901,05,28,0.0,,Y
IDCJAC0009,80115,1901,05,29,0.0,,Y
IDCJAC0009,80115,1901,05,30,0.0,,Y
IDCJAC0009,80115,1901,05,31,0.0,,Y
IDCJAC0009,80115,1901,06,01,5.1,1,Y
IDCJAC0009,80115,1901,06,02,0.0,,Y
IDCJAC0009,80115,1901,06,03,0.0,,Y
IDCJAC0009,80115,1901,06,04,0.0,,Y
IDCJAC0009,80115,1901,06,05,0.0,,Y
IDCJAC0009,80115,1901,06,06,0.0,,Y
IDCJAC0009,80115,1901,06,07,0.0,,Y
IDCJAC0009,80115,1901,06,08,10.2,1,Y
IDCJAC0009,80115,1901,06,09,0.0,,Y
IDCJAC0009,80115,1901,06,10,0.0,,Y
IDCJAC0009,80115,1901,06,11,0.0,,Y
IDCJAC0009,80115,1901,06,12,0.0,,Y
IDCJAC0009,80115,1901,06,13,0.0,,Y
IDCJAC0009,80115,1901,06,14,0.0,,Y
IDCJAC0009,80115,1901,06,15,0.0,,Y
IDCJAC0009,80115,1901,06,16,0.0,,Y
IDCJAC0009,80115,1901,06,17,10.2,1,Y
IDCJAC0009,80115,1901,06,18,0.0,,Y
IDCJAC0009,80115,1901,06,19,0.0,,Y
IDCJAC0009,80115,1901,06,20,0.0,,Y
IDCJAC0009,80115,1901,06,21,2.8,1,Y
IDCJAC0009,80115,1901,06,22,0.0,,Y
IDCJAC0009,80115,1901,06,23,0.0,,Y
IDCJAC0009,80115,1901,06,24,0.0,,Y
IDCJAC0009,80115,1901,06,25,0.0,,Y
IDCJAC0009,80115,1901,06,26,0.0,,Y
IDCJAC0009,80115,1901,06,27,0.0,,Y
IDCJAC0009,80115,1901,06,28,0.0,,Y
IDCJAC0009,80115,1901,06,29,0.0,,Y
IDCJAC0009,80115,1901,06,30,0.0,,Y
IDCJAC0009,80115,1901,07,01,0.0,,Y
IDCJAC0009,80115,1901,07,02,0.0,,Y
IDCJAC0009,80115,1901,07,03,0.0,,Y
IDCJAC0009,80115,1901,07,04,0.0,,Y
IDCJAC0009,80115,1901,07,05,0.0,,Y
IDCJAC0009,80115,1901,07,06,0.0,,Y
IDCJAC0009,80115,1901,07,07,0.0,,Y
IDCJAC0009,80115,1901,07,08,0.0,,Y
IDCJAC0009,80115,1901,07,09,7.1,1,Y
IDCJAC0009,80115,1901,07,10,0.0,,Y
IDCJAC0009,80115,1901,07,11,0.0,,Y
IDCJAC0009,80115,1901,07,12,0.0,,Y
IDCJAC0009,80115,1901,07,13,0.0,,Y
IDCJAC0009,80115,1901,07,14,0.0,,Y
IDCJAC0009,80115,1901,07,15,0.0,,Y
IDCJAC0009,80115,1901,07,16,7.6,1,Y
IDCJAC0009,80115,1901,07,17,0.0,,Y
IDCJAC0009,80115,1901,07,18,0.0,,Y
IDCJAC0009,80115,1901,07,19,0.0,,Y
IDCJAC0009,80115,1901,07,20,0.0,,Y
IDCJAC0009,80115,1901,07,21,0.0,,Y
IDCJAC0009,80115,1901,07,22,2.3,1,Y
IDCJAC0009,80115,1901,07,23,0.0,,Y
IDCJAC0009,80115,1901,07,24,0.0,,Y
IDCJAC0009,80115,1901,07,25,0.0,,Y
IDCJAC0009,80115,1901,07,26,0.0,,Y
IDCJAC0009,80115,1901,07,27,7.4,1,Y
IDCJAC0009,80115,1901,07,28,0.0,,Y
IDCJAC0009,80115,1901,07,29,0.0,,Y
IDCJAC0009,80115,1901,07,30,0.0,,Y
IDCJAC0009,80115,1901,07,31,0.0,,Y
IDCJAC0009,80115,1901,08,01,0.0,,Y
IDCJAC0009,80115,1901,08,02,0.0,,Y
IDCJAC0009,80115,1901,08,03,0.0,,Y
IDCJAC0009,80115,1901,08,04,0.0,,Y
IDCJAC0009,80115,1901,08,05,0.0,,Y
IDCJAC0009,80115,1901,08,06,0.0,,Y
IDCJAC0009,80115,1901,08,07,0.0,,Y
IDCJAC0009,80115,1901,08,08,0.0,,Y
IDCJAC0009,80115,1901,08,09,0.0,,Y
IDCJAC0009,80115,1901,08,10,0.0,,Y
IDCJAC0009,80115,1901,08,11,0.0,,Y
IDCJAC0009,80115,1901,08,12,0.0,,Y
IDCJAC0009,80115,1901,08,13,0.0,,Y
IDCJAC0009,80115,1901,08,14,0.0,,Y
IDCJAC0009,80115,1901,08,15,2.3,1,Y
IDCJAC0009,80115,1901,08,16,0.0,,Y
IDCJAC0009,80115,1901,08,17,0.0,,Y
IDCJAC0009,80115,1901,08,18,2.3,1,Y
IDCJAC0009,80115,1901,08,19,0.0,,Y
IDCJAC0009,80115,1901,08,20,0.0,,Y
IDCJAC0009,80115,1901,08,21,0.0,,Y
IDCJAC0009,80115,1901,08,22,0.0,,Y
IDCJAC0009,80115,1901,08,23,0.0,,Y
IDCJAC0009,80115,1901,08,24,0.0,,Y
IDCJAC0009,80115,1901,08,25,19.1,1,Y
IDCJAC0009,80115,1901,08,26,4.8,1,Y
IDCJAC0009,80115,1901,08,27,0.0,,Y
IDCJAC0009,80115,1901,08,28,0.0,,Y
IDCJAC0009,80115,1901,08,29,0.0,,Y
IDCJAC0009,80115,1901,08,30,0.0,,Y
IDCJAC0009,80115,1901,08,31,0.0,,Y
IDCJAC0009,80115,1901,09,01,0.0,,Y
IDCJAC0009,80115,1901,09,02,3.8,1,Y
IDCJAC0009,80115,1901,09,03,0.0,,Y
IDCJAC0009,80115,1901,09,04,0.0,,Y
IDCJAC0009,80115,1901,09,05,0.0,,Y
IDCJAC0009,80115,1901,09,06,0.0,,Y
IDCJAC0009,80115,1901,09,07,0.0,,Y
IDCJAC0009,80115,1901,09,08,0.0,,Y
IDCJAC0009,80115,1901,09,09,0.0,,Y
IDCJAC0009,80115,1901,09,10,0.0,,Y
IDCJAC0009,80115,1901,09,11,0.0,,Y
IDCJAC0009,80115,1901,09,12,0.0,,Y
IDCJAC0009,80115,1901,09,13,0.0,,Y
IDCJAC0009,80115,1901,09,14,0.0,,Y
IDCJAC0009,80115,1901,09,15,0.0,,Y
IDCJAC0009,80115,1901,09,16,0.0,,Y
IDCJAC0009,80115,1901,09,17,0.0,,Y
IDCJAC0009,80115,1901,09,18,0.0,,Y
IDCJAC0009,80115,1901,09,19,0.0,,Y
IDCJAC0009,80115,1901,09,20,7.6,1,Y
IDCJAC0009,80115,1901,09,21,7.1,1,Y
IDCJAC0009,80115,1901,09,22,2.3,1,Y
IDCJAC0009,80115,1901,09,23,0.0,,Y
IDCJAC0009,80115,1901,09,24,0.0,,Y
IDCJAC0009,80115,1901,09,25,0.0,,Y
IDCJAC0009,80115,1901,09,26,0.0,,Y
IDCJAC0009,80115,1901,09,27,0.0,,Y
IDCJAC0009,80115,1901,09,28,0.0,,Y
IDCJAC0009,80115,1901,09,29,0.0,,Y
IDCJAC0009,80115,1901,09,30,0.0,,Y
IDCJAC0009,80115,1901,10,01,0.0,,Y
IDCJAC0009,80115,1901,10,02,0.0,,Y
IDCJAC0009,80115,1901,10,03,0.0,,Y
IDCJAC0009,80115,1901,10,04,0.0,,Y
IDCJAC0009,80115,1901,10,05,0.0,,Y
IDCJAC0009,80115,1901,10,06,0.0,,Y
IDCJAC0009,80115,1901,10,07,0.0,,Y
IDCJAC0009,80115,1901,10,08,0.0,,Y
IDCJAC0009,80115,1901,10,09,0.0,,Y
IDCJAC0009,80115,1901,10,10,0.0,,Y
IDCJAC0009,80115,1901,10,11,0.0,,Y
IDCJAC0009,80115,1901,10,12,6.9,1,Y
IDCJAC0009,80115,1901,10,13,4.1,1,Y
IDCJAC0009,80115,1901,10,14,1.5,1,Y
IDCJAC0009,80115,1901,10,15,3.8,1,Y
IDCJAC0009,80115,1901,10,16,0.0,,Y
IDCJAC0009,80115,1901,10,17,0.0,,Y
IDCJAC0009,80115,1901,10,18,0.0,,Y
IDCJAC0009,80115,1901,10,19,0.0,,Y
IDCJAC0009,80115,1901,10,20,0.0,,Y
IDCJAC0009,80115,1901,10,21,0.0,,Y
IDCJAC0009,80115,1901,10,22,0.0,,Y
IDCJAC0009,80115,1901,10,23,0.0,,Y
IDCJAC0009,80115,1901,10,24,0.0,,Y
IDCJAC0009,80115,1901,10,25,0.0,,Y
IDCJAC0009,80115,1901,10,26,0.0,,Y
IDCJAC0009,80115,1901,10,27,0.0,,Y
IDCJAC0009,80115,1901,10,28,14.0,1,Y
IDCJAC0009,80115,1901,10,29,0.0,,Y
IDCJAC0009,80115,1901,10,30,0.0,,Y
IDCJAC0009,80115,1901,10,31,0.0,,Y
IDCJAC0009,80115,1901,11,01,0.0,,Y
IDCJAC0009,80115,1901,11,02,0.0,,Y
IDCJAC0009,80115,1901,11,03,0.0,,Y
IDCJAC0009,80115,1901,11,04,0.0,,Y
IDCJAC0009,80115,1901,11,05,0.0,,Y
IDCJAC0009,80115,1901,11,06,0.0,,Y
IDCJAC0009,80115,1901,11,07,0.0,,Y
IDCJAC0009,80115,1901,11,08,0.0,,Y
IDCJAC0009,80115,1901,11,09,0.0,,Y
IDCJAC0009,80115,1901,11,10,0.0,,Y
IDCJAC0009,80115,1901,11,11,0.0,,Y
IDCJAC0009,80115,1901,11,12,0.0,,Y
IDCJAC0009,80115,1901,11,13,0.0,,Y
IDCJAC0009,80115,1901,11,14,0.0,,Y
IDCJAC0009,80115,1901,11,15,0.0,,Y
IDCJAC0009,80115,1901,11,16,0.0,,Y
IDCJAC0009,80115,1901,11,17,0.0,,Y
IDCJAC0009,80115,1901,11,18,0.0,,Y
IDCJAC0009,80115,1901,11,19,0.0,,Y
IDCJAC0009,80115,1901,11,20,0.0,,Y
IDCJAC0009,80115,1901,11,21,0.0,,Y
IDCJAC0009,80115,1901,11,22,0.0,,Y
IDCJAC0009,80115,1901,11,23,0.0,,Y
IDCJAC0009,80115,1901,11,24,0.0,,Y
IDCJAC0009,80115,1901,11,25,0.0,,Y
IDCJAC0009,80115,1901,11,26,4.6,1,Y
IDCJAC0009,80115,1901,11,27,0.0,,Y
IDCJAC0009,80115,1901,11,28,0.0,,Y
IDCJAC0009,80115,1901,11,29,0.0,,Y
IDCJAC0009,80115,1901,11,30,0.0,,Y
IDCJAC0009,80115,1901,12,01,0.0,,Y
IDCJAC0009,80115,1901,12,02,0.0,,Y
IDCJAC0009,80115,1901,12,03,0.0,,Y
IDCJAC0009,80115,1901,12,04,0.0,,Y
IDCJAC0009,80115,1901,12,05,0.0,,Y
IDCJAC0009,80115,1901,12,06,0.0,,Y
IDCJAC0009,80115,1901,12,07,0.0,,Y
IDCJAC0009,80115,1901,12,08,0.0,,Y
IDCJAC0009,80115,1901,12,09,0.0,,Y
IDCJAC0009,80115,1901,12,10,0.0,,Y
IDCJAC0009,80115,1901,12,11,0.0,,Y
IDCJAC0009,80115,1901,12,12,0.0,,Y
IDCJAC0009,80115,1901,12,13,0.0,,Y
IDCJAC0009,80115,1901,12,14,0.0,,Y
IDCJAC0009,80115,1901,12,15,0.0,,Y
IDCJAC0009,80115,1901,12,16,0.0,,Y
IDCJAC0009,80115,1901,12,17,0.0,,Y
IDCJAC0009,80115,1901,12,18,0.0,,Y
IDCJAC0009,80115,1901,12,19,0.0,,Y
IDCJAC0009,80115,1901,12,20,0.0,,Y
IDCJAC0009,80115,1901,12,21,0.0,,Y
IDCJAC0009,80115,1901,12,22,0.0,,Y
IDCJAC0009,80115,1901,12,23,10.2,1,Y
IDCJAC0009,80115,1901,12,24,0.0,,Y
IDCJAC0009,80115,1901,12,25,0.0,,Y
IDCJAC0009,80115,1901,12,26,0.0,,Y
IDCJAC0009,80115,1901,12,27,0.0,,Y
IDCJAC0009,80115,1901,12,28,0.0,,Y
IDCJAC0009,80115,1901,12,29,0.0,,Y
IDCJAC0009,80115,1901,12,30,0.0,,Y
IDCJAC0009,80115,1901,12,31,4.3,1,Y
IDCJAC0009,80115,1902,01,01,0.0,,Y
IDCJAC0009,80115,1902,01,02,0.0,,Y
IDCJAC0009,80115,1902,01,03,0.0,,Y
IDCJAC0009,80115,1902,01,04,7.9,1,Y
IDCJAC0009,80115,1902,01,05,0.0,,Y
IDCJAC0009,80115,1902,01,06,0.0,,Y
IDCJAC0009,80115,1902,01,07,0.0,,Y
IDCJAC0009,80115,1902,01,08,0.0,,Y
IDCJAC0009,80115,1902,01,09,0.0,,Y
IDCJAC0009,80115,1902,01,10,0.0,,Y
IDCJAC0009,80115,1902,01,11,0.0,,Y
IDCJAC0009,80115,1902,01,12,0.0,,Y
IDCJAC0009,80115,1902,01,13,0.0,,Y
IDCJAC0009,80115,1902,01,14,0.0,,Y
IDCJAC0009,80115,1902,01,15,0.0,,Y
IDCJAC0009,80115,1902,01,16,0.0,,Y
IDCJAC0009,80115,1902,01,17,0.0,,Y
IDCJAC0009,80115,1902,01,18,0.0,,Y
IDCJAC0009,80115,1902,01,19,0.0,,Y
IDCJAC0009,80115,1902,01,20,0.0,,Y
IDCJAC0009,80115,1902,01,21,0.0,,Y
IDCJAC0009,80115,1902,01,22,0.0,,Y
IDCJAC0009,80115,1902,01,23,0.0,,Y
IDCJAC0009,80115,1902,01,24,0.0,,Y
IDCJAC0009,80115,1902,01,25,0.0,,Y
IDCJAC0009,80115,1902,01,26,0.0,,Y
IDCJAC0009,80115,1902,01,27,28.4,1,Y
IDCJAC0009,80115,1902,01,28,0.0,,Y
IDCJAC0009,80115,1902,01,29,0.0,,Y
IDCJAC0009,80115,1902,01,30,0.0,,Y
IDCJAC0009,80115,1902,01,31,0.0,,Y
IDCJAC0009,80115,1902,02,01,0.0,,Y
IDCJAC0009,80115,1902,02,02,0.0,,Y
IDCJAC0009,80115,1902,02,03,0.0,,Y
IDCJAC0009,80115,1902,02,04,0.0,,Y
IDCJAC0009,80115,1902,02,05,0.0,,Y
IDCJAC0009,80115,1902,02,06,0.0,,Y
IDCJAC0009,80115,1902,02,07,0.0,,Y
IDCJAC0009,80115,1902,02,08,0.0,,Y
IDCJAC0009,80115,1902,02,09,0.0,,Y
IDCJAC0009,80115,1902,02,10,0.0,,Y
IDCJAC0009,80115,1902,02,11,0.0,,Y
IDCJAC0009,80115,1902,02,12,0.0,,Y
IDCJAC0009,80115,1902,02,13,0.0,,Y
IDCJAC0009,80115,1902,02,14,0.0,,Y
IDCJAC0009,80115,1902,02,15,0.0,,Y
IDCJAC0009,80115,1902,02,16,0.0,,Y
IDCJAC0009,80115,1902,02,17,0.0,,Y
IDCJAC0009,80115,1902,02,18,0.0,,Y
IDCJAC0009,80115,1902,02,19,0.0,,Y
IDCJAC0009,80115,1902,02,20,0.0,,Y
IDCJAC0009,80115,1902,02,21,0.0,,Y
IDCJAC0009,80115,1902,02,22,0.0,,Y
IDCJAC0009,80115,1902,02,23,0.0,,Y
IDCJAC0009,80115,1902,02,24,0.0,,Y
IDCJAC0009,80115,1902,02,25,0.0,,Y
IDCJAC0009,80115,1902,02,26,0.0,,Y
IDCJAC0009,80115,1902,02,27,0.0,,Y
IDCJAC0009,80115,1902,02,28,0.0,,Y
IDCJAC0009,80115,1902,03,01,0.0,,Y
IDCJAC0009,80115,1902,03,02,0.0,,Y
IDCJAC0009,80115,1902,03,03,0.0,,Y
IDCJAC0009,80115,1902,03,04,0.0,,Y
IDCJAC0009,80115,1902,03,05,0.0,,Y
IDCJAC0009,80115,1902,03,06,0.0,,Y
IDCJAC0009,80115,1902,03,07,0.0,,Y
IDCJAC0009,80115,1902,03,08,0.0,,Y
IDCJAC0009,80115,1902,03,09,0.0,,Y
IDCJAC0009,80115,1902,03,10,0.0,,Y
IDCJAC0009,80115,1902,03,11,0.0,,Y
IDCJAC0009,80115,1902,03,12,0.0,,Y
IDCJAC0009,80115,1902,03,13,0.0,,Y
IDCJAC0009,80115,1902,03,14,0.0,,Y
IDCJAC0009,80115,1902,03,15,0.0,,Y
IDCJAC0009,80115,1902,03,16,0.0,,Y
IDCJAC0009,80115,1902,03,17,0.0,,Y
IDCJAC0009,80115,1902,03,18,0.0,,Y
IDCJAC0009,80115,1902,03,19,0.0,,Y
IDCJAC0009,80115,1902,03,20,0.0,,Y
IDCJAC0009,80115,1902,03,21,0.0,,Y
IDCJAC0009,80115,1902,03,22,0.0,,Y
IDCJAC0009,80115,1902,03,23,0.0,,Y
IDCJAC0009,80115,1902,03,24,0.0,,Y
IDCJAC0009,80115,1902,03,25,0.0,,Y
IDCJAC0009,80115,1902,03,26,0.0,,Y
IDCJAC0009,80115,1902,03,27,12.7,1,Y
IDCJAC0009,80115,1902,03,28,6.4,1,Y
IDCJAC0009,80115,1902,03,29,0.0,,Y
IDCJAC0009,80115,1902,03,30,0.0,,Y
IDCJAC0009,80115,1902,03,31,0.0,,Y
IDCJAC0009,80115,1902,04,01,0.0,,Y
IDCJAC0009,80115,1902,04,02,0.0,,Y
IDCJAC0009,80115,1902,04,03,0.0,,Y
IDCJAC0009,80115,1902,04,04,0.0,,Y
IDCJAC0009,80115,1902,04,05,0.0,,Y
IDCJAC0009,80115,1902,04,06,0.0,,Y
IDCJAC0009,80115,1902,04,07,0.0,,Y
IDCJAC0009,80115,1902,04,08,0.0,,Y
IDCJAC0009,80115,1902,04,09,0.0,,Y
IDCJAC0009,80115,1902,04,10,0.0,,Y
IDCJAC0009,80115,1902,04,11,0.0,,Y
IDCJAC0009,80115,1902,04,12,0.0,,Y
IDCJAC0009,80115,1902,04,13,0.0,,Y
IDCJAC0009,80115,1902,04,14,0.0,,Y
IDCJAC0009,80115,1902,04,15,0.0,,Y
IDCJAC0009,80115,1902,04,16,0.0,,Y
IDCJAC0009,80115,1902,04,17,0.0,,Y
IDCJAC0009,80115,1902,04,18,0.0,,Y
IDCJAC0009,80115,1902,04,19,0.0,,Y
IDCJAC0009,80115,1902,04,20,0.0,,Y
IDCJAC0009,80115,1902,04,21,0.0,,Y
IDCJAC0009,80115,1902,04,22,0.0,,Y
IDCJAC0009,80115,1902,04,23,0.0,,Y
